"INTER SA","MA","4/13/2020","4/14/2020","4/13/2020","4/14/2020","6/8/2020","6/8/2020","6/30/2020","7/31/2020","","","6/30/2020","6/19/2020","8/13/2020","","11/12/2020","","","","","","","","",""
"INTERMEDICA","NM","2/20/2020","2/20/2020","2/20/2020","2/20/2020","3/25/2020","3/25/2020","6/30/2020","6/30/2020","","","5/6/2020","5/6/2020","8/6/2020","","11/4/2020","","2/21/2020","","5/7/2020","","8/7/2020","","11/5/2020",""
"IOCHP-MAXION","NM","3/5/2020","3/5/2020","3/5/2020","3/5/2020","4/30/2020","4/30/2020","7/31/2020","7/31/2020","","","5/14/2020","5/14/2020","8/13/2020","","11/4/2020","","3/6/2020","","5/15/2020","","8/14/2020","","11/5/2020",""
"IRBBRASIL RE","NM","2/18/2020","2/18/2020","2/18/2020","2/18/2020","7/31/2020","7/31/2020","7/31/2020","7/31/2020","","","6/29/2020","6/30/2020","8/28/2020","","11/9/2020","","2/19/2020","","6/30/2020","","8/31/2020","","11/10/2020",""
"ITAUSA","N1","2/17/2020","2/17/2020","2/17/2020","2/17/2020","6/17/2020","6/17/2020","6/23/2020","6/23/2020","9/23/2020","","5/11/2020","5/11/2020","8/10/2020","","11/9/2020","","","","","","","","",""
"ITAUUNIBANCO","N1","2/10/2020","2/10/2020","2/10/2020","2/10/2020","4/28/2020","4/28/2020","5/29/2020","5/29/2020","11/30/2020","","5/4/2020","5/4/2020","8/3/2020","","11/3/2020","","","","","","","","",""
"JBS","NM","3/25/2020","3/25/2020","3/25/2020","3/25/2020","4/28/2020","4/28/2020","5/29/2020","5/29/2020","","","5/14/2020","5/14/2020","8/13/2020","","11/12/2020","","3/31/2020","","5/15/2020","","8/14/2020","","11/13/2020",""
"JHSF PART","NM","2/13/2020","2/13/2020","2/13/2020","2/13/2020","4/9/2020","4/9/2020","5/31/2020","5/29/2020","","","5/14/2020","5/14/2020","8/13/2020","","11/5/2020","","2/7/2020","","5/15/2020","","8/14/2020","","11/6/2020",""
"JSL","NM","3/30/2020","3/30/2020","3/30/2020","3/30/2020","4/30/2020","4/30/2020","6/5/2020","6/5/2020","","","5/15/2020","5/15/2020","8/13/2020","","11/12/2020","","3/31/2020","","5/15/2020","","8/14/2020","","11/13/2020",""
"KLABIN S/A","N2","2/6/2020","2/6/2020","2/6/2020","2/6/2020","7/31/2020","7/31/2020","6/3/2020","6/3/2020","11/27/2020","","5/4/2020","5/4/2020","8/5/2020","","11/3/2020","","","","","","","","",""
